,relevance,queryid,bm25 score,query length,document length,# of matched q/d terms,min idf,max idf,min tf,max tf,phrase frequency
0,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
1,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
2,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
3,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
4,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
5,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
6,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
7,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
8,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
9,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
10,0,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
11,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
12,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
13,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
14,1,79,0.0,1,169,0,0.0,0.0,0.0,0.0,0.0
15,2,79,31.018671,1,200,1,11.316429,11.316429,0.62296134,0.62296134,2.0
16,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
17,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
18,1,79,0.0,1,200,0,0.0,0.0,0.0,0.0,0.0
19,1,80,11.227784,2,200,1,7.162768,7.162768,0.71250916,0.71250916,0.0
20,1,80,42.680946,2,200,2,4.885814,7.162768,0.8050918,0.8050918,5.0
21,1,80,13.434871,2,200,1,7.162768,7.162768,0.85256976,0.85256976,0.0
22,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
23,1,80,28.951416,2,200,2,4.885814,7.162768,0.45239204,0.76768476,1.0
24,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
25,1,80,7.6317883,2,183,1,7.162768,7.162768,0.48430926,0.48430926,0.0
26,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
27,1,80,9.816681,2,200,1,7.162768,7.162768,0.62296134,0.62296134,0.0
28,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
29,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
30,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
31,1,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
32,1,80,12.686708,2,200,1,7.162768,7.162768,0.8050918,0.8050918,0.0
33,2,80,7.1288347,2,200,1,7.162768,7.162768,0.45239204,0.45239204,0.0
34,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
35,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
36,1,80,12.837267,2,192,1,7.162768,7.162768,0.8146461,0.8146461,0.0
37,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
38,1,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
39,0,80,0.0,2,200,0,0.0,0.0,0.0,0.0,0.0
40,1,128,5.7467594,3,200,2,2.2598488,3.5142653,0.45239204,0.45239204,0.0
41,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
42,0,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
43,1,128,0.0,3,200,0,0.0,0.0,0.0,0.0,0.0
44,1,128,10.570501,3,200,2,2.2598488,3.5142653,0.83212304,0.83212304,0.0
